doc_id	court_code	judgment_code	justice_kind	category_code	cause_num	adjudication_date	receipt_date	judge	doc_url	status	date_publ
86741476	1014	5	2	5359	371/793/18	"2019-12-26 00:00:00+02"	"2020-01-02 00:00:00+02"	"Іванюта Т. Є."	http://od.reyestr.court.gov.ua/files/43/10c208214ea6a0288ef6e583b4f4ba9d.rtf	1	"2020-01-03 00:00:00+02"
86741477	1014	5	2	5359	371/793/18	"2019-12-26 00:00:00+02"	"2020-01-02 00:00:00+02"	"Іванюта Т. Є."	http://od.reyestr.court.gov.ua/files/43/487936e91dabf249f5e72d262d0fce34.rtf	1	"2020-01-03 00:00:00+02"
86741037	1013	5	2	40478	367/8840/19	"2019-12-28 00:00:00+02"	"2020-01-02 00:00:00+02"	"Карабаза Н. Ф."	http://od.reyestr.court.gov.ua/files/43/834cc9583ed913d09f97ecc772496792.rtf	1	"2020-01-03 00:00:00+02"
86743668	1670	5	4	40099	440/5213/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"А.О. Чеснокова"	http://od.reyestr.court.gov.ua/files/43/1eba8149499797d839dbf43fe92d8c6f.rtf	1	"2020-01-03 00:00:00+02"
86743857	1570	5	4	40033	420/8148/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Бжассо Н. В."	http://od.reyestr.court.gov.ua/files/43/3e1338aab1706d72e1619e73da2c28c4.rtf	1	"2020-01-03 00:00:00+02"
86741463	1013	5	2		367/9929/19	"2019-12-28 00:00:00+02"	"2020-01-02 00:00:00+02"	"Карабаза Н. Ф."	http://od.reyestr.court.gov.ua/files/43/f5d6d2aa3cc7f21236fcdcf1889bdf4b.rtf	1	"2020-01-03 00:00:00+02"
86741470	1013	5	2		367/9999/19	"2019-12-27 00:00:00+02"	"2020-01-02 00:00:00+02"	"Карабаза Н. Ф."	http://od.reyestr.court.gov.ua/files/43/4580482209edfda2759fea79645298d5.rtf	1	"2020-01-03 00:00:00+02"
86743840	1570	5	4	40142	420/8145/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Бжассо Н. В."	http://od.reyestr.court.gov.ua/files/43/9848bf43fb7550ffb51bc23983b8a50f.rtf	1	"2020-01-03 00:00:00+02"
86744771	0315	5	1	40376	168/931/19	"2019-12-28 00:00:00+02"	"2020-01-02 00:00:00+02"	"Назарук О. В."	http://od.reyestr.court.gov.ua/files/43/9cf1a3b8b6e09cd69031b0066f6f3a9f.rtf	1	"2020-01-03 00:00:00+02"
86744756	0314	5	1	40376	167/5/20	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Сіліч І. І."	http://od.reyestr.court.gov.ua/files/43/c47528e33bc0c41a18b62a0c5a30340a.rtf	1	"2020-01-03 00:00:00+02"
